#wamp	ramp
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
2730.67	1.03
481.88	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	38.28
8192.00	1.03
8192.00	1.03
8192.00	1.03
4096.00	19.14
546.13	1.28
303.41	1.03
240.94	1.03
1024.00	4.25
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
409.60	1.03
8192.00	1.03
512.00	1.03
221.41	1.03
2730.67	12.76
234.06	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
282.48	1.03
2730.67	12.76
1365.33	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
2048.00	1.37
341.33	1.53
4096.00	1.03
327.68	1.37
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	38.28
227.56	1.03
2048.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
315.08	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
585.14	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
1638.40	1.66
234.06	1.03
8192.00	19.14
4096.00	1.03
264.26	1.06
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
248.24	1.03
8192.00	1.03
8192.00	1.03
8192.00	2.39
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
585.14	1.66
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
1365.33	1.03
327.68	1.16
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	38.28
215.58	1.03
8192.00	1.03
327.68	1.03
240.94	1.03
1365.33	1.03
8192.00	1.03
8192.00	1.03
546.13	1.16
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
819.20	1.37
256.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	38.28
221.41	1.03
4096.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	38.28
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	38.28
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	38.28
8192.00	1.03
8192.00	1.03
8192.00	1.03
256.00	1.20
292.57	1.23
8192.00	19.14
8192.00	1.03
8192.00	1.03
234.06	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
512.00	1.03
8192.00	1.03
8192.00	1.03
2730.67	1.03
8192.00	38.28
372.36	1.03
2048.00	9.57
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
256.00	1.03
585.14	1.03
8192.00	38.28
8192.00	38.28
512.00	2.25
8192.00	38.28
8192.00	1.03
8192.00	1.03
8192.00	1.03
1365.33	1.03
1024.00	1.42
585.14	1.03
282.48	1.03
227.56	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.20
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
585.14	1.03
264.26	1.16
481.88	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
256.00	1.03
248.24	1.03
682.67	1.03
8192.00	1.03
8192.00	1.03
409.60	1.03
248.24	1.03
4096.00	1.03
630.15	1.03
512.00	2.13
8192.00	1.03
8192.00	1.03
8192.00	1.03
2730.67	1.03
303.41	1.37
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
819.20	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
1638.40	1.03
4096.00	19.14
8192.00	1.03
303.41	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	38.28
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
273.07	1.03
1024.00	1.03
8192.00	1.03
431.16	1.03
1365.33	1.60
248.24	1.03
8192.00	1.03
227.56	1.03
8192.00	1.03
390.10	1.82
1638.40	1.03
8192.00	1.03
282.48	1.13
8192.00	1.03
819.20	1.03
2048.00	1.03
1170.29	1.03
8192.00	1.03
221.41	1.03
1365.33	1.13
303.41	1.03
8192.00	1.03
2048.00	1.74
8192.00	38.28
227.56	1.03
227.56	1.03
8192.00	1.03
546.13	1.91
315.08	1.03
1638.40	1.28
240.94	1.03
256.00	1.16
1638.40	7.66
256.00	1.03
2730.67	1.03
512.00	2.13
234.06	1.03
585.14	1.03
221.41	1.03
8192.00	38.28
8192.00	38.28
2730.67	1.32
240.94	1.03
431.16	1.13
221.41	1.03
221.41	1.03
234.06	1.03
227.56	1.03
910.22	4.25
8192.00	38.28
8192.00	38.28
4096.00	1.03
2730.67	1.32
221.41	1.03
8192.00	38.28
8192.00	38.28
315.08	1.03
1170.29	1.03
1638.40	1.03
234.06	1.09
630.15	1.03
221.41	1.03
8192.00	38.28
455.11	1.03
8192.00	38.28
234.06	1.03
455.11	1.03
8192.00	38.28
910.22	3.83
221.41	1.03
4096.00	1.03
