#wamp	ramp
1.86	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
431.16	1.03
1365.33	1.03
1.74	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
221.41	1.03
221.41	1.03
221.41	1.03
221.41	1.03
2.38	1.03
910.22	1.03
221.41	1.03
215.58	1.03
8192.00	1.03
8192.00	1.03
481.88	1.03
8192.00	1.03
8192.00	1.03
481.88	19.14
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
6.26	1.03
8192.00	38.28
45.51	1.82
5.81	1.03
240.94	1.09
48.47	1.03
215.58	1.03
630.15	19.14
221.41	1.03
2.00	1.03
8192.00	1.03
2.35	1.03
630.15	1.03
8192.00	1.03
8192.00	38.28
341.33	1.60
8192.00	1.03
8192.00	1.03
2048.00	1.03
1.59	1.03
227.56	1.03
630.15	1.09
546.13	38.28
630.15	2.55
8192.00	38.28
512.00	1.37
546.13	38.28
744.73	1.03
8192.00	1.03
455.11	1.03
215.58	1.03
215.58	1.03
8192.00	1.03
8192.00	1.03
546.13	1.03
8192.00	1.03
248.24	1.03
227.56	1.03
1.62	1.03
10.37	1.03
8192.00	1.03
8192.00	1.03
4096.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
264.26	1.13
1170.29	4.25
227.56	1.03
227.56	1.03
390.10	1.74
8192.00	1.03
585.14	38.28
8192.00	1.03
8192.00	38.28
8192.00	1.03
8192.00	1.03
1.93	1.03
8192.00	1.03
8192.00	1.03
1.57	1.03
8192.00	1.03
8192.00	1.03
3.44	1.06
481.88	1.03
221.41	1.03
215.58	1.03
292.57	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
2730.67	1.03
215.58	1.03
481.88	1.03
585.14	2.73
6.50	1.03
512.00	38.28
49.65	1.68
512.00	1.03
8192.00	1.03
8192.00	1.03
2048.00	1.03
3.44	1.03
546.13	1.03
8192.00	1.03
8192.00	1.03
256.00	1.03
8192.00	1.03
455.11	1.03
221.41	1.03
409.60	1.03
292.57	1.28
45.01	19.14
8192.00	38.28
234.06	1.03
1.47	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
5.13	1.03
2730.67	1.03
221.41	1.03
227.56	1.03
630.15	38.28
546.13	38.28
512.00	38.28
8.52	1.03
1.68	1.03
8192.00	38.28
234.06	1.03
221.41	1.03
819.20	1.03
8.33	1.03
8192.00	1.03
2048.00	1.03
227.56	1.03
3.24	1.03
8192.00	1.03
8192.00	1.03
1.63	1.03
8192.00	1.03
1638.40	1.03
3.97	1.03
5.68	1.03
2.31	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
1638.40	1.03
7.27	1.03
630.15	38.28
2.19	1.03
5.21	1.03
215.58	1.03
221.41	1.03
8192.00	1.03
221.41	1.03
6.41	1.03
8192.00	1.03
8192.00	1.03
221.41	1.03
227.56	1.03
227.56	1.03
2.41	1.03
2.30	1.06
227.56	1.03
227.56	1.03
2048.00	1.03
3.24	1.03
8192.00	1.03
2.77	1.03
8192.00	1.03
455.11	1.03
227.56	1.03
4.35	1.03
15.81	1.03
13.07	1.06
215.58	1.03
8192.00	1.03
8192.00	1.03
292.57	1.03
8192.00	1.03
8192.00	38.28
1365.33	5.47
234.06	1.03
8192.00	2.01
2.91	1.03
546.13	1.03
227.56	1.03
8192.00	1.03
8192.00	1.03
1024.00	1.03
630.15	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
1.70	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
910.22	1.03
1365.33	1.03
8192.00	1.03
8192.00	38.28
12.43	1.03
819.20	1.03
315.08	1.03
8192.00	1.03
2.50	1.03
585.14	1.03
234.06	1.03
744.73	1.03
512.00	38.28
8192.00	38.28
8192.00	38.28
256.00	1.03
8192.00	1.03
8192.00	1.03
630.15	38.28
8192.00	1.03
8192.00	1.03
8192.00	1.03
356.17	1.66
341.33	1.03
2.37	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
390.10	1.03
819.20	1.03
8192.00	1.03
8192.00	1.03
221.41	1.03
12.32	1.03
1170.29	1.13
8192.00	1.03
8192.00	1.03
8192.00	1.03
215.58	1.03
2.38	1.03
8192.00	1.03
8192.00	1.03
2730.67	1.03
546.13	38.28
1.55	1.03
303.41	1.03
240.94	1.06
327.68	1.32
546.13	1.03
8192.00	1.03
248.24	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
8192.00	1.03
221.41	1.03
234.06	1.03
248.24	1.13
8192.00	38.28
4096.00	19.14
1.59	1.03
341.33	1.03
1.64	1.03
215.58	1.03
227.56	1.03
